1,Alcaraz,Chardy
2,Muller,Rinderknech
3,Kubler,Humbert
4,Cecchinato,Jarry
5,Zverev,Brouwer
6,Huesler,Watanuki
7,Berrettini,Sonego
8,Coppejans,De_Minaur
9,Tiafoe,Wu
10,Stricker,Popyrin
11,Ivashka,Coria
12,Shimabukuro,Dimitrov
13,Davidovich_Fokina,Fils
14,Zhang_Zhizhen,Van_De_Zandschulp
15,Arnaldi,Carballes_Baena
16,Loffhagen,Rune
17,Medvedev,Fery
18,Mannarino,Shevchenko
19,Giron,Dellien
20,Fucsovics,Griekspoor
21,Cerundolo_Francisco,Borges
22,Lehecka,Ofner
23,Raonic,Novak
24,Mochizuki,Paul
25,Norrie,Machac
26,Eubanks,Monteiro
27,OConnell,Medjedovic
28,Vesely,Korda
29,Shelton,Daniel
30,Cressy,Djere
31,Peniston,Murray_Andy
32,Thiem,Tsitsipas
33,Sinner,Cerundolo_Juan
34,Kecmanovic,Schwartzman
35,Vukic,Altmaier
36,Halys,Evans
37,Nishioka,Galan
38,Koepfer,Otte
39,Ymer_Mikael,Molcan
40,Hanfmann,Fritz
41,Coric,Pella
42,Bonzi,Mayot
43,Moutet,Gasquet
44,Safiullin,Bautista_Agut
45,Shapovalov,Albot
46,Harris,Barrere
47,Broady,Lestienne
48,Lokoli,Ruud
49,Rublev,Purcell
50,Van_Assche,Karatsev
51,Baez,Vera
52,Goffin,Marozsan
53,Bublik,Mcdonald
54,Wolf,Couacaud
55,Marterer,Gojo
56,Mmoh,Auger_Aliassime
57,Musetti,Varillas
58,Isner,Munar
59,Choinski,Lajovic
60,Ramos_Vinolas,Hurkacz
61,Etcheverry,Zapata_Miralles
62,Ruusuvuori,Wawrinka
63,Thompson,Nakashima
64,Cachin,Djokovic
